ID,Membership,Class,Mom,Notes
add,e,,,added by JES based on network 7-11-10
ade,w,ImmM,,
adon,w,NatM,mrph,
ali,w,NatF,,
alum,w,,,added by JES based on network 7-11-10
amar,e,NatF,,added by PVM
andr,w,NatM,mrph,
ani,w,NatF,,
arlo,w,NatM,bail,
art,w,NatF,,
ath,w,NatF,,
atrx,e,,,added by JES based on network 7-11-10
bacc,w,NatM,mrph,
back,w,,,added by JES based on network 7-11-10
bail,w,,,added by JES based on network 7-11-10
bass,e,NatF,,
bca,w,ImmM,,
bm,e,NatF,,added by PVM
boa,w,NatM,ali,
bos,w,ImmM,,
bp,w,ImmM,,
brn,w,NatM,ua,
bsl,w,,,added by JES based on network 7-11-10
bsp,w,NatF,mp,
cam,e  ,NatF,,
chad,w,NatM,cr,
chas,e,ImmM,,
chob,e,NatM,par,
chw,e,NatF,,
cida,e,,,added by JES based on network 7-11-10
cnet,e,NatM,hem,
cnti,e,,,added by JES based on network 7-11-10
coo,e,NatF,,
cous,w,,,added by JES based on network 7-11-10
cpa,w,NatM,sx,
csac,w,,,added by JES based on network 7-11-10
csn,w,NatF,,
cuj,w,NatM,kip,
dal,w,ImmM,,
dant,e,NatM,who,
darw,w,NatM,jb,
day,e,ImmM,,
dd,e,NatM,dj,
del,e,NatM,wr,
dfy,e,,,added by JES based on network 7-11-10
ding ,e,ImmM,,
dnv,e,ImmM,,
dqi,e,,,added by JES based on network 7-11-10
dub,e,ImmM,,
exc,e,ImmM,,
ffl,w,,,added by JES based on network 7-11-10
foz,w,NatM,hob,
frr,e,NatM,jj,
gbg,e,,,added by JES based on network 7-11-10
gdz,e,NatM,kip,
ger,w,,,added by JES based on network 7-11-10
gif,w,,,added by JES based on network 7-11-10
gob,w,ImmM,,
gol,e,NatF,,added by PVM
gren,e,NatF,,
gui,e,NatF,,
gura,e,,,added by JES based on network 7-11-10
han,e,,,added by JES based on network 7-11-10
hem,e,NatF,,
herc,w,NatM,mrph,
hex,w,,,added by JES based on network 7-11-10
hg,w,,,added by JES based on network 7-11-10
hml,e,NatF,,
hoo,w,NatF,nav,
hrp,e,NatF,,
ind,e,NatM,bail,
jade,e,NatM,gol,
jas,e,NatM,gol,
jet,e,,,added by JES based on network 7-11-10
jj,e,NatF,,added by PVM
jup,w,NatM,oke,
jut,e,NatF,,
kdy,w,NatM,nav,
kier,w,NatF,mali,
kik,w,,,added by JES based on network 7-11-10
kon,w,NatM,ua,
kro,e,,,added by JES based on network 7-11-10
ktn,w,NatM,csn,
ldv,w,NatM,hg,
len,w,,,added by JES based on network 7-11-10
lim,w,ImmM,,
linc,w,NatM,nav,
lma,e,ImmM,,
mac,w,NatF,ger,added by JES 5-13-11
mali,w,NatF,,
mat,w,,,added by JES based on network 7-11-10
mca,e,NatM,gol,
mdsn,w,,,added by JES based on network 7-11-10
mer,e,ImmM,,
mge,e,,,added by JES based on network 7-11-10
mig,w,ImmM,,
mite,e,NatF,,
mln,w,ImmM,,
mnr,w,,,added by JES based on network 7-11-10
moil,w,,,added by JES based on network 7-11-10
mojo,w,NatM,bail,
mos,w,,,added by JES based on network 7-11-10
mp,w,NatF,,"2000=e, after w"
mrph,w,,,added by JES based on network 7-11-10
mrs,w,NatM,oke,
mtl,w,ImmM,,
nav,w,,,added by JES based on network 7-11-10
ncl,w,,,added by JES based on network 7-11-10
nick,w,ImmM,,
nod,w,NatM,ua,
nola,w,NatF,mp,
ntz,w,,,added by JES based on network 7-11-10
nxn,w,NatM,nav,
nzt,w,NatM,mali,
oke,w,NatF,,
olia,w,,,added by JES based on network 7-11-10
ome,w,NatM,sx,
osl,w,ImmM,,
par,e,NatF,,added by PVM
pcl,e,,,added by JES based on network 7-11-10
pcs,w,NatM,hg,
pisa,w,ImmM,,
pla,w,,,added by JES based on network 7-11-10
port,e,ImmM,,
puc,e,NatF,,
rslg,e,NatM,hml,
rub,e,NatM,gol,"2002=e, April 1 dispersed to join w"
rump,e,NatF,wr,
sals,e,NatF,,
sch,w,NatM,ua,
sco,w,NatM,hob,
shb,e,NatM,par,
sim,w,ImmM,,
slm,w,ImmM,,added by JES 5-13-10
sqa,e,NatF,,
tana,e,,,added by JES based on network 7-11-10
tang,e,NatF,,
tho,e,NatM,who,
thor,w,,,added by JES based on network 7-11-10
tia,w,,,added by JES based on network 7-11-10
tini,w,,,added by JES based on network 7-11-10
tol,e,NatM,who,
tsa,w,NatM,par,
vgs,w,ImmM,,
whh,w,NatF,,
whi,w,NatM,hg,
who,e,NatF,,added by PVM
wr,e,NatF,,added by PVM
wrl,w,,,added by JES based on network 7-11-10
yet,w,NatM,kip,
yoda,w,,,added by JES based on network 7-11-10
yog,w,,,added by JES based on network 7-11-10
zc,w,,,added by JES based on network 7-11-10
zim,w,NatF,,
